prefab_name: "Seattle:Core/HumanFemale"
character_sheet_id: "CG Human Street Samurai"
equipment_sheet_id: "shell_equipment_lvl1"
character_mod {
  stats {
    body: 0
    quickness: 2
    strength: 2
    charisma: 0
    intelligence: -1
    willpower: 0
    essence: 0
    magic: 0
    hp: 5
    ap: 0
    armor: 0
    force: 0
    morale: 0
    discipline: 0
    awareness: 0
    perception: 0
    authority: 0
    protect_tether_range: 0
    move_speed: 0
    vision_peripheral_distance: 0
    vision_cone_distance: 0
    vision_cone_angle: 0
  }
  skills {
    ranged_combat: 4
    close_combat: 2
    throwing_weapons: 0
    spellcasting: 0
    decking: 0
    conjuring: 0
    spirit_summoning: 0
    drone_control: 0
    biotech: 1
    dodge: 3
    etiquette_corporate: 0
    etiquette_security: 0
    etiquette_gang: 1
    etiquette_socialite: 0
    chi_casting: 0
    etiquette_shadowrunner: 0
    etiquette_street: 0
    etiquette_academic: 0
  }
  specializations {
    pistol: 0
    rifle: 0
    shotgun: 0
    smg: 5
    edged: 1
    unarmed: 0
    spirit_control: 0
    esp_control: 0
    drone_combat: 0
  }
  attitude: AttitudeAggressive
  vulnerabilities {
  }
}
team_id: "Shadowrunners"
char_name: "Shell"
GeneralTags: "isShell,isCREW"
pc_spawn_number: -1
spawn_type: SpawnType_Normal
hiring_type: HiringType_Hireable
ready_priority: 0
cyberware_jack: "Datajack"
portrait {
  filename: "human_female_weapons-spec"
}
description_bio: "Ex-Ganger. Not the brightest flourostick in the box; but, She\'s one mean, novahot Street Sam."
portrait_code_override: "s6h16c5b0c0t0"
karma: 4
hiring_cost_override: 0
hiring_tag: "Crew / Street Samurai"
id: "shell_level1"
